query,esci_label,product_title,product_description,product_brand,query_id,product_id,intent,entities,timestamp,country,city,language,value_weight,confidence,brand,category,attributes,labelling_method
1 black natural hair dye without ammonia or peroxide,E,"L'Oreal Paris Excellence Creme Permanent Hair Color, 3 Natural Black, 100 percent Gray Coverage Hair Dye, Pack of 2",,L'Oreal Paris,12,B07D9P7S14,informational,{},,us,,us,,,none,haircare/product,"natural, black, hair, dye, no, ammonia, no, peroxide, without",LLM
1 rated resveratrol supplement without tea leaves,E,ProHealth Longevity 1000 mg Trans Resveratrol Plus 420 mg Certified Organic Polyphenol Complex That Improves Absorption up to 1544%,"Regular resveratrol is composed of 50% trans-resveratrol and 50% cis-resveratrol; research suggests that only the trans-form has valuable biological activity. Therefore, ProHealth's Trans-Resveratrol delivers 1000mg of pure, natural trans-resveratrol per serving. Organic co-factors and BioPerine included in this formula can improve absorption & C-max blood levels up to 1544%. ** Herbal products such as this are likely to have minor color variation from batch to batch because of the geographical and seasonal variations of the raw material.",ProHealth,13,B083F5WC2P,commercial,{},,us,,us,,,none,health and wellness,"resveratrol supplement, tea leaves, top rated, best, without",LLM
1 selling shoes for men without shoeleases,E,"Skechers mens Cessnock Food Service Shoe, Black, 12 US",,Skechers,14,B07FBGMW49,commercial,{},,us,,us,,,none,shoes for men,"without sales, selling, number 1, men's shoes",LLM
1 small corded treadmill without remote control,E,"BiFanuo 2 in 1 Folding Treadmill, Smart Walking Running Machine with Bluetooth Audio Speakers, Installation-Free，Under Desk Treadmill for Home/Office Gym Cardio Fitness（Red）","<p><b>BiFanuo 2-in-1 Folding Treadmill</b></p> <p>BiFanuo 2-in-1 folding treadmill has 2 sport modes that can be used as a running treadmill and an under-desk walking treadmill.</p> <p></p> <p>Compared to ordinary treadmills, our 2-in-1 treadmill has 2 modes to meet your different sports needs. When the riser is folded, it can be used, so you can do other things while walking. When the handrail is raised, you can run to reach your fitness goal. With a powerful and ultra-quiet motor, this treadmill allows you to walk or run without disturbing others, making it ideal for home and office use. With a sturdy and durable steel frame and multi-layer shield design, it's shock-absorbing and noise-reducing, making your running quieter, safer, and more comfortable.</p> <p><br></p> <p></p> <p><b>Keeps you on the go</b></p> <p>Stay fit and healthy with the ultra-smart home trainer.</p> <p>This highly practical treadmill is perfect for your home free-installation, easy to use, and taking up almost no space at all, this smart home trainer is nevertheless equipped with all the cool features. Whether you just want to improve your stamina or aim for bigger fitness goals, the BiFanuo Treadmill is your faithful companion</p> <p><br></p> <p></p> <p><b>Ultra Slim</b>: Easy-Folding System (no assembly required)</p> <p><b>Easy to move</b>: Move the item with Transportation Wheels, Place the treamill wherever you wish.</p> <p><b>Bluetooth Function & High-performance Speaker</b></p> <p>Powerful Quiet Motor</p> <p>Non-slip & Shock-absorbing Running Belt</p>",Bifanuo,15,B08DRQKTZD,transactional,{},,us,,us,,,none,fitness equipment (treadmill),"small, corded, without remote control",LLM
10 cans applesauce,I,"WeeSprout Double Zipper Reusable Food Pouches (Blue, 3.4 fl oz)","Healthy eating made easy, convenient & fun Are you unsatisfied with processed foods and with other food pouch options? Want a fun way for your kids to enjoy eating healthy food? Tired of expensive and wasteful single-use food pouches? Struggling to fill and clean your reusable food pouches? Nature's Little Squeeze has been designed for you and your family. Kids of all ages have fun eating a variety of healthy foods you may 'hide' in our pouches. The reusable design allows you to prepare your own healthier food options. Try filling them with applesauce, smoothies, yogurt, baby food, fruit/veggie purees, etc. They are designed to be the easiest reusable food pouch to fill and to clean. Why our customers love our pouches. Extra wide zipper-opening makes filling and cleaning easy.When cleaning, water flows through the zipper opening and out the spout. There are no pesky corners to trap food. Pouches are top rack dishwasher friendly. For best results, rinse the pouches before loading in dishwasher. Fill and store extra pouches in the freezer. Strong, planet friendly materials allow for repeated use. Dual-zipper closure ensures against leaks. Contain no harmful materials. Pouches can be used again and again. Save money compared to disposable pouches. Packaging and pouches are recyclable. Click the Add to Cart button at the top of this page to start enjoying an easy, convenient & fun way to eat more healthily",WeeSprout,16,B07GLCFV1P,transactional,{},,us,,us,,,none,food,"10 cans, applesauce, applesauce in bulk",LLM
10 envelopes self seal,E,Mailing Envelopes Self Seal - 10 Security White Letter Businesses Envelopes -100 Peel and Seal Tinted Windowless 10 Envelope - Printer Friendly - Self Stick Bulk Envelops,"✉️ 100 ENVELOPE WINDOWLESS PACK - perfect choice for small businesses, home offices, and everyday use. <p></p> ✉️ TINTED SECURITY PATTERN - Windowless envelope with a secure, security tint-pattern to protect contents and sensitive information <p></p> ✉️ NO NEED TO LICK THE FLAP ANYMORE - SELF-SEAL adhesive strip creates a super secure seal across each envelope <p></p> ✉️ LASER AND INKJET PRINTER COMPATIBLE - Measuring 4-1/8 x 9-1/2 inches, fully compatible with most inkjet and laser printers for easy addressing <p></p> ✉️ HIGH QUALITY & BULK PRICING - 24lbs high-quality envelopes at a fraction of the price",Splendoress,17,B07R4TGNCF,transactional,{},,us,,us,,,none,stationery,"self-seal, envelope, size 10",LLM
10 envelopes without security tint,E,"ValBox 10x13 Self Seal Catalog Envelopes 150 Packs Large White Envelopes with Peel and Seal Flap for Mailing, Organizing and Storage","""About ValBox</br> </br> Engaged in producing envelopes, paper boxes and other home and office paper products supplies, ValBox is a direct-sale store of a paper products manufacture. We advocate the love and natural concept, insisting on using recycled material in the process of production. Hope ValBox can provide you, our valued customers, the high quality products and intimate service.</br> </br> ValBox 10x13 Inches Self-Seal Security Catalog Envelopes for Mailing, Organizing and Storage</br> </br> Item Type: 10 x 13 inches security catalog envelopes</br> </br> Package Included: 1 box, 150 packs</br> </br> Color: White</br> </br> Features: Self sealing, Strong flap adhesive, durable thicken kraft paper, larger size for important paper without folding, can be ran through laser or inkjet printer.</br> </br> These high quality 10 x 13 inches white catalog envelopes are perfect for storing magazines, important papers, certificates, books or mailing booklets, catalogs, brochures, multi-page documents and more. Strong self-adhesive have a long shelf life. Thicken kraft pater will also keep your contents safe and protect your privacy""",ValBox,18,B07PX9X51C,commercial,{},,us,,us,,,,stationery,"size, envelopes, no security tint, without security tint",LLM
10 standard no tint no window not self seal,S,"Office Deed 50010 Envelopes SELF SEAL Business Envelope Windowless Design, Security Tint Pattern for Secure Mailing, Invoices, Statements & Legal Document, 4-1/8 x 9-1/2 Inches","Office Deed 10 Security self seal Envelopes are designed for convenience, reliability and security. These are made from high-quality 24-lb white wove. Wove finish adds a professional touch. Envelopes designed to Protect confidential client information with our security tinted envelopes. The blue tint pattern makes impossible to see the details of the contents, even when held up to the light. Mail invoices, statements and other important documents with confidence. The woven finish gives them a neat appearance and professional appearance. The gummed flap provides for quick and easy sealing. The box contains 500 individual white business envelopes.",Office Deed,19,B0797PN46S,commercial,{},,us,,us,,,none,window film or tint,"standard, no tint, no window, not self seal, product specifications or features",LLM
10 window envelopes not self seal,E,"Self Seal Double Window Security Envelopes (10 - Box of 500), for Invoices, Statements and Legal Documents (4 1/8"" x 9 1/2"")","<p><b>Save Time and Money with The GSM Office 10 Self Seal Double Window Envelopes</b></p> <p>It can be a pain to send invoices, statements or legal documents through the mail with normal envelopes. You must either use a standard envelope and spend time addressing the envelope, or struggle with getting the correct address details to line up to show through the envelope windows. Our envelopes are specifically designed to fit most standard printed invoice, statement and legal document layouts, allowing the sender and receiver addresses to be seen while hiding the contents.</p> <p><b>High Quality Construction</b></p> <p>Our self seal double window envelopes are made to high quality standards with the following specifications:</p> <p>10 Envelopes with 4 1/8 inch width and 9 1/2 inch length.</p> <p>Double window design to accomodate most printed invoice, statement and document layouts (see the product pictures for exact design specifications).</p> <p>Made with 26 lb white paper and a blue woven security pattern.</p> <p>Uses a strong adhesive peal and self seal that does not require moisture to seal.</p> <p>Comes in a convenient box of 500.</p> <p><b>Money Back Guarantee</b></p> <p>These self seal double window envelopes come with our money back guarantee. If the envelopes fail to live up to your expectations, simply return them for a full refund.</p>",GSM Brands,20,B079H6L3CK,transactional,{},,us,,us,,,,office supplies/envelopes,"window envelopes, not self-seal, #10, envelopes for mail",LLM
10 window envelopes without plastic,E,"Office Deed 500 10 Self Seal Double Window Security Envelopes-Designed for Business Statements, Quickbooks Invoices, and Return Envelopes 4 1/8 X 9 ½’’","Office Deed 10 Double Window Security self seal Envelopes are designed for convenience, reliability and security. These are made from high-quality 24-lb white wove. Wove finish adds a professional touch. Envelopes designed to Protect confidential client information with our security tinted envelopes. The blue tint pattern makes impossible to see the details of the contents, even when held up to the light. Mail invoices, statements and other important documents with confidence. The woven finish gives them a neat appearance and professional appearance. The gummed flap provides for quick and easy sealing. The box contains 500 individual white business envelopes.",Office Deed,21,B07C28VWVN,commercial,{},,us,,us,,,none,stationery office supplies,"window envelopes, without plastic, size #10",LLM
11 mrs. kormel is not normal,I,Liquid I.V. Hydration Multiplier - Lemon Lime - Hydration Powder Packets | Electrolyte Drink Mix | Easy Open Single-Serving Stick | Non-GMO,,Liquid I.V.,22,B01IT9NLHW,informational,{},,us,,us,,,"Squidward's pet store or a local school (Kormel possibly being a name, possibly a location name like Kormel or Korwel) or  Mrs. Kormel possibly being a name of a character from Squidward",education or pet store,"unusual/ not normal, Mrs. Kormel",LLM
12 black boys chain necklace without baseball stitches,E,American Football Rugby Athletes Jersey Number 12 Stainless Steel Pendant Necklace for Boys Girls Women Men 24 Inch Chain,"<p> <br><b>★Welcome to Rehoboth Jewelry Company<br>We provide best service,100% satisfied sold out service.<br>We promise that we use Factual description and Real photo.Please take care about the jewelry size when you purchase. <br>Beautifully engraved Football Athletes Jersey Number Pendant Necklaces.An inspirational from Number,Nice Show of Your Unique charm.<br>Exquisite gift box packing,More suitable Birthdays,Graduation,New Year’s Day,Mother’s Day,Fathers Day,Easter,Halloween,Thanksgiving,Christmas,Football Coach or Team Gift,Communion or Christening Gift.Unique and Inspiring gift for Christmas or any other special occasion or celebration.This fine necklace also makes a great conversation piece.<p> <br><b>Why choose us?</b> <br><b>★About Rehoboth </b> <br>Rehoboth Jewelry are mainly engaged in all kinds of stainless steel,titanium steel jewelry.Including bracelets,Rings,earrings,pendants,necklaces etc.Our products are fashion,high-quality and affordable.Any concerns,you can post it in the part of ""Customer Questions & Answers"" below the page,you will get the answer by us or buyers.<br>Advantage of Stainless Steel:Stainless steel jewelry is perfect for those who prefer the silver color but dislike the discoloration properties of silver and it is less expensive then white gold.Stainless Steel is robust and will not tarnish or rust easily,it is high temperature corrosion-resistant and able to maintain long-term wear shiny and smooth,So it is ideal for long-lasting jewelry designs.<p> <br><b>★Warm tips:</b> <br>※Avoid any touch with cosmetics,perfume,hair gel etc acidity substance,there will be chemical reaction. <br>※Take off when swiming,because it will be oxidized if touch with chloride in the pool.<br>※It is recommended to wipe them with a soft cloth,like cotton or flannel.",Rehoboth,23,B07Y1YQ9YS,transactional,{},,us,,us,,,none,jewelry/accessories,"#12, black, chain, necklace, without, baseball, stitches",LLM
14 x 1-1/2 stainless self tapping,E,10 x 1-1/2'' Hex Washer Head Self-Drilling Tek Screw Zinc Plated Steel for Attaches Sheet Metal Steel or Steel to Metal - Box of 100,"<b>Hex Washer Head Self-Drilling Screw 10 X 1-1/2'', Zinc-Plated Steel</b><br> For use in Sheet Metal Steel, Attaches Metal to Metal. RoHs Compliant <br><br> <b> Packaged box of 100 pcs.</b><br> 10 x 1-1/2'' Screw<br><br> <b> PRODUCT FEATURES:</b><br> Hex Washer Head distributes holding pressure to thin metal.<br> Use these screws to secure metal to metal.<br> Save Time and Effort by drilling their own holes and fastening in a single operation.<br> Made from Steel, they have a Zinc Plating to resist corrosion in weather environments.<br> <br><br> <b> SPECIFICATIONS:</b><br> 10-16 Thread x 1-1/2"" Long, Hex Head <br> Material: Zinc-Plated Stainless Steel <br> Drill Capacity: 0.035'' to 0.100'' <br> Drill Speed: 2500 RPM <br><br> Meets ASTM C 1513 for cold-formed steel framing connections <br> Meets F.I.P.-1000.7 for torsional strength & drill speed <br> Meets SAE J78 for Performance & Dimensional Specifications <br> Meets ASTM A 510 for carbon steel manufacturing <br> Meets ASTM F1941 for corrosion resistance <br><br><br> <b> SCREW DIMENSIONS:</b><br> Diameter: 10 (0.190'') <br> Length: 1-1/2'' <br> Head Diameter: 5/16'' <br> Head Height: 0.151'' <br> Flange Diameter: 0.414'' <br> Drill Tip Length: 1/4''<br><br><br> <b> HIGH QUALITY - 100% Satisfaction Guaranteed</b>",Strong-Point,24,B07B8TMV2Y,transactional,{},,us,,us,,,,hardware,"stainless, self-tapping, x 1-1/2, 14",LLM
15 charm,S,"PH PandaHall 150pcs 15 Styles Tree Leaf Charms Pendants, Tibetan Branch Leaves Charms Beads for DIY Earring Bracelet Necklace Jewelry Making, Antique Bronze","</br>Description:</br> 100% brand new and high quality</br> Great DIY accessories for your necklaces, bracelets, earrings and other fashion accessories making</br> Giving your designs a professional touch</br> Material: Alloy</br> Color: Antique Tibetan Bronze</br>Specification:</br> Size: about 16~38mm long, 7~28mm wide, 1~4mm thick</br> Hole Diameter: 1~2.5mm</br> Box Size: 14x10.8x3cm</br>Package Includes:</br> 150 x Leaf Charm</br> 1 x Plastic Box</br>Note:</br> Please be reminded that due to lighting effects, monitor's brightness / contrast settings etc, there could be some slight differences in the color tone of the pictures and the actual item. Also please allow a slight difference in size which may be caused by manual measurement.",PH PandaHall,25,B07DFHQ6KY,informational,{},,us,,us,,,Charm,beauty/personal care,"15, charm",LLM
2 dixon oriole pencils not sharpened,S,Hex Pencils (Full Size Hex Pencil with 2 Lead Available in a Variety of Colors) (Tested Non Toxic) (Latex Free Eraser) (Classroom Pencils) (Bulk Box of 144) (Matte Black),"High quality hex pencils that are the ideal writing utensil. Strong number 2 lead draws with a dark line and does not need to be sharpened often. Quality erasers that glide over the page while easily removing unwanted marks. These pencils are test and approved non-toxic. These pencils are sure to please and are great for score keeping, pews giveaways and much more.",Alpne Glow Products,26,B06VSJ9LZ6,transactional,{},,us,,us,,,Dixon Oriole,pencils,"price, condition, unsharpened",LLM
2 pencils,E,"Wood-Cased 2 HB Pencils, Yellow, Pre-sharpened, 16 Packs of 12-Count, 192 pencils in box by Madisi","<p><b>Bulk Pack</b></p> <p>16 boxes of 12 2 HB pre-sharpened pencils each, total 192.</p>",Madisi,27,B07FV9P5D1,transactional,{},,us,,us,,,none,school supplies/offices,"stationery, graphite, pencils, art",LLM
2 pencils with erasers sharpened not soft,E,"SKKSTATIONERY Half Pencils with Eraser Tops, Golf, Classroom, Pew - 2 HB, Hexagon, Pre-sharpened, 96/Box.","S K K is a leading manufacturer of school, home and office supplies, with SKKStationery registered in U.S.A. We export worldwide. We own manufacture in China and Malaysia. Half Pencils with Eraser Top, 4"" Hexagon, 2 HB Lead, Sharpened, 96/Box. Ideal for Score Keeping, Pews, Classroom, Parties, Events, Anywhere. Pencils Made from High-quality Wood for Clean, Easy Sharpening. Soft, Smudge-free, Latex-free eraser Secured to End for Conveniently Wiping Away Mistakes.",SKKSTATIONERY,28,B078K6FRD6,commercial,{},,us,,us,,,none,stationery/office supply,"2 pencils, with erasers, sharpened, not soft, sharp",LLM
2 pencils without erasers,E,Nikola Works Classic American Standard 2 HB Mini Golf Pre-Sharpened Pew Pencils Without Erasers Hex Shaped Bulk 384 Count,"3 4 Don’t let their Wooden Design or Miniature Size make you think they’re Cheap there’s Big Quality in a Small package. This is one of those Little Deals you won’t want to miss. Pick up one of these Bluk packs for a sturdy Pencisl that won’t let you down. These are Half Size as a normal Pensils and are primarily used for Gilf or Minigolf, but don’t let that Tiny detail sway you form a great deal. You don’t have to go Golfing to want to use these, they’re Sized perfectly for anyone to use anywhere. The great thing about a Pensil is even if you’re Writing and the tip has a break, you can grab your Sharpener and get back to work easy as that. The Lead may break but that’s a small price to pay for a natural wood writing tool. These can be left or right Hand grip these stubby Tinny tools fit easily in your pocket. These Shapened Pen Cils are a great gift for the golfer in your life, use them for putt Pu, Miniture, or classic Golf, and eve disk golf, nut there are so many other uses. The Wholesale Lots Pack is Perfect For Back to School, Teachers Classpack, Schools, Museums, for the College, Office Supplies, as a Promotional Item a Gift or the Library. They’re Great for Baby showers., Bridal shower, bachelor Party, keep Score at Party Games, use them at the Silent Auction, lend them to a Friendly neighbor, or fill out a survey, use them for Bingo or in the Church Pew. If you’re a Substitute School Teacher you can bring them to your Classroom to give to the Class. If you travel a lot they’re compact and great for the traveler to Pack with them when they’re on the move. These are great for your Kid to use when they want to make a craft because they’re a much easier Grip in their Small Soft Hand and Kids love the short Stubby look. These can be Customized for your child without getting too Expensive, just get additional add on Eraser for a fun look",Nikola Works,29,B07R3F2MH4,transactional,{},,us,,us,,,none,stationery/pens,"pencils, without erasers, -#2 pencils",LLM
20 paper bags without handle,E,30 Pieces Small Colored Paper Gift Bags Party Favor Bags Assorted Colors (Rainbow Without Handle),"<p><strong>30 Pieces Small Colored Paper Gift Bags Party Favor Bags Assorted Colors (Rainbow Without Handle)</strong></p> <p>Size: 9.1 x 5.1 x 3.1 inch environmental paper bag.</p> <p>5 pcs for each color: Red/orange/yellow/green/blue/purple..</p> <p>These colorful bags is perfect for lunch bags, birthday party treat bags, goodie bag, party bag, gift bag, party favor bag, wedding bag, retail bag and more.</p>",My Party Time,30,B083LKWCNR,commercial,{},,us,,us,,,,paper products,"without handle, #20, paper bags",LLM
3 metal zipper slider not made in america,S,"YKK Zipper Repair (not KIT) 1 x Pull for Jeep Wrangler 10 Coil Nylon top Zipper Long Pull Rear Window, Top, Side/Back TJ and JK Model viteao","can be used FOR JEEP WRANGLER 10V pull/SLIDER SOFT TOP /WINDOW... FITS JEEP MODELS: all MODELS ... FIX YOUR WINDOWS IN SECONDS .... NO SEWING REQUIRED.... THE MOST COMPLETE repair KIT AVAILABLE ANYWHERE .... This Kit is for ONE x 10V SLIDER with ONE PULL.... can be used to repair: JEEP soft top, or rear window, or rear side windows. .... . Installs in seconds, included parts and easy to follow instructions. .... KIT INCLUDE:- 1 x 10V YKK one pull SLIDER .... ship to: MAINLAND USA ONLY …...The ONLY 30 yrs. official YYK seller on AMAZON.........YKK is a registered Trademark of YKK corporation",VITEAO,32,B084M5MB6C,informational,{},,us,,us,,,,accessories/zipper/slider,"made in america, metal, 3, slider",LLM
4 braiding hair not stretched,S,"jiefeng 8 Bundles Pre stretched Braiding Hair Extensions for Women 26 Inches Yaki Texture Professional Crochet Twist Braids Hair Synthetic Hair for Braids (20'', black to red)","<p>They are so beautiful braiding hair, so shiny, so colorful, so natural. </p> <p>It’s made with low temperature, flame-retardant, heat-resistant top quality Kanekalon. </p> <p>It’s friendly to your scalp.</p> <p>The hair is definitely healthy, definitely no tangles, no itch. </p> <p>You can braid through out without constantly pulling on knots.</p> <p>It can save you from braiding tangles and make your braid fast, enjoyable and pleasant.</p> <p>You can change the Pre-stretched braiding hair styles very easily. The length of 26 inch is enough for you to make complex styles such as faux locs, nu locs or box braids etc.It supports hot water setting. </p> <p>So buy this hair, start to enjoy your braiding trip</p> <p>Hair Weight:90g/Bundle</p> <p>Hair Length:26 inch</p> <p>Hair Color:Silver Gray</p> <p>Package:8 bundles braiding hair </p>",jiefeng,33,B08R3T19MS,informational,{},,us,,us,,,none,beauty/grooming/hair care,"braiding, hair, not stretched",LLM
4 pads without wings,E,"Always Ultra Thin Pads Without Wings, Unscented, Long Super 40 ea (Pack of 4)",,Always,34,B01IAIA95O,commercial,{},,us,,us,,,"Hewlett-Packard, HP (due to HP's product line called HP Pads)",tablets,"pads, without, wings, product type (assuming pads without wings are HP's HP pads), product without wing attachment",LLM
5 coil zipper without lock,I,"3 Nylon Coil Zippers by The Yard Long Zippers for Sewing,Silver Zipper Teeth 10 Yard with 20PCS White Tape White Gold Slider-VOC Zipper for Tailor Crafts(White Tape)","3 Nylon Coil Zippers by The Yard Long Zippers for Sewing,Silver Zipper Teeth 10 Yard with 20PCS White Tape White Gold Slider-VOC Zipper for Tailor Crafts(White Tape) PRODUCT DIMENSION: 3 teeth-4 tape wide and special cut easy for sewing nylon coil zippers by the yard bulk.Can be applied for home sewing uesd and arts crafts. QUANTITY: Package 10 yards zipper roll with 20 beautiful and strong matched no-locking sliders. COLORS:black tape,shiny siver plated and polished slider and pullers MATERIAL: Our nylon coil zippers are made of good quality nylon, thicker zippers tape and good quality metal zippers puller,and are certified by international inspection, which is durable and sturdy to use. WIDE APLLICATION: These nylon zippers can be used for costume designing, pillow cases, boutique accessories or other handicraft, also can be applied for fixing or sewing slacks, skirts and dresses, bags, pet clothes.",VOC voice of customer,35,B089T58KHN,informational,{},,us,,us,,,,zipper,"#5 coil zipper, without lock",LLM
